INFO buildroot.py:603:  Mock Version: 5.5
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/rpm
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/tmp
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/tmp
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/tmp/ccache
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/tmp/ccache
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/var/tmp
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/var/tmp
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/dnf
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/dnf
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/dnf/vars
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/dnf/vars
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/yum.repos.d
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/yum.repos.d
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/yum
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/yum
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/proc
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/proc
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/sys
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/sys
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/dev/pts
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/dev/pts
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/dev/shm
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/dev/shm
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/dev/mapper
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/dev/mapper
DEBUG buildroot.py:803:  kernel version == 6.8.0-0.rc7.55.fc40.1.x86_64
DEBUG file_util.py:30:  touching file: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/fstab
DEBUG file_util.py:30:  touching file: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/yum/yum.conf
DEBUG file_util.py:30:  touching file: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/dnf/dnf.conf
DEBUG file_util.py:30:  touching file: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/var/log/yum.log
DEBUG buildroot.py:298:  rootdir = /var/lib/mock/f41-build-49652926-5916286-bootstrap/root
DEBUG buildroot.py:299:  resultdir = /var/lib/mock/f41-build-49652926-5916286-bootstrap/results
DEBUG package_manager.py:56:  searching for 'dnf5' package manager or alternatives
INFO buildroot.py:174:  Package manager dnf5 detected and used (fallback)
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/pki/mock
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/pki/mock
DEBUG file_util.py:158:  Updating files in /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/pki/ca-trust with files from /etc/pki/ca-trust
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/pki/ca-trust
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/pki/ca-trust
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/pki/ca-trust/./extracted
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/pki/ca-trust/./extracted
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/pki/ca-trust/./source
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/pki/ca-trust/./source
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/pki/ca-trust/extracted/edk2
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/pki/ca-trust/extracted/edk2
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/pki/ca-trust/extracted/java
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/pki/ca-trust/extracted/java
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/pki/ca-trust/extracted/openssl
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/pki/ca-trust/extracted/openssl
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/pki/ca-trust/extracted/pem
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/pki/ca-trust/extracted/pem
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/pki/ca-trust/extracted/pem/directory-hash
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/pki/ca-trust/extracted/pem/directory-hash
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/pki/ca-trust/source/anchors
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/pki/ca-trust/source/anchors
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/pki/ca-trust/source/blacklist
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/pki/ca-trust/source/blacklist
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/pki/ca-trust/source/blocklist
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/pki/ca-trust/source/blocklist
DEBUG file_util.py:158:  Updating files in /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/usr/share/pki/ca-trust-source with files from /usr/share/pki/ca-trust-source
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/usr/share/pki/ca-trust-source
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/usr/share/pki/ca-trust-source
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/usr/share/pki/ca-trust-source/./anchors
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/usr/share/pki/ca-trust-source/./anchors
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/usr/share/pki/ca-trust-source/./blacklist
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/usr/share/pki/ca-trust-source/./blacklist
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/usr/share/pki/ca-trust-source/./blocklist
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/usr/share/pki/ca-trust-source/./blocklist
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/usr/share
DEBUG package_manager.py:382:  Copying /usr/share/distribution-gpg-keys to the bootstrap chroot
DEBUG util.py:636:  child environment: None
DEBUG util.py:558:  Executing command: ['cp', '-a', '/usr/share/distribution-gpg-keys', '/var/lib/mock/f41-build-49652926-5916286-bootstrap/root/usr/share'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:610:  Child return code was: 0
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/dnf
DEBUG package_manager.py:683:  configure DNF vars
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/proc
DEBUG util.py:636:  child environment: None
DEBUG util.py:558:  Executing command: ['/bin/mount', '-n', '-t', 'tmpfs', '-o', 'rprivate,mode=0755', 'tmpfs', '/var/lib/mock/f41-build-49652926-5916286-bootstrap/root/proc'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:610:  Child return code was: 0
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/proc
DEBUG util.py:636:  child environment: None
DEBUG util.py:558:  Executing command: ['/bin/mount', '-n', '-o', 'rbind', '/proc', '/var/lib/mock/f41-build-49652926-5916286-bootstrap/root/proc'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:610:  Child return code was: 0
DEBUG util.py:636:  child environment: None
DEBUG util.py:558:  Executing command: ['/bin/mount', '-n', '-o', 'remount,nodev,noexec,nosuid,readonly,rprivate,rbind', '--target', '/var/lib/mock/f41-build-49652926-5916286-bootstrap/root/proc'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:610:  Child return code was: 0
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/sys
DEBUG util.py:636:  child environment: None
DEBUG util.py:558:  Executing command: ['/bin/mount', '-n', '-t', 'tmpfs', '-o', 'rprivate,mode=0755', 'tmpfs', '/var/lib/mock/f41-build-49652926-5916286-bootstrap/root/sys'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:610:  Child return code was: 0
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/sys
DEBUG util.py:636:  child environment: None
DEBUG util.py:558:  Executing command: ['/bin/mount', '-n', '-o', 'rbind', '/sys', '/var/lib/mock/f41-build-49652926-5916286-bootstrap/root/sys'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:610:  Child return code was: 0
DEBUG util.py:636:  child environment: None
DEBUG util.py:558:  Executing command: ['/bin/mount', '-n', '-o', 'remount,nodev,noexec,nosuid,readonly,rprivate,rbind', '--target', '/var/lib/mock/f41-build-49652926-5916286-bootstrap/root/sys'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:610:  Child return code was: 0
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/dev/shm
DEBUG util.py:636:  child environment: None
DEBUG util.py:558:  Executing command: ['/bin/mount', '-n', '-t', 'tmpfs', 'tmpfs', '/var/lib/mock/f41-build-49652926-5916286-bootstrap/root/dev/shm'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:610:  Child return code was: 0
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/dev/pts
DEBUG util.py:636:  child environment: None
DEBUG util.py:558:  Executing command: ['/bin/mount', '-n', '-t', 'devpts', '-o', 'gid=5,mode=0620,ptmxmode=0666,newinstance', 'devpts', '/var/lib/mock/f41-build-49652926-5916286-bootstrap/root/dev/pts'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:610:  Child return code was: 0
DEBUG util.py:636:  child environment: None
DEBUG util.py:558:  Executing command: ['/bin/mount', '-n', '-o', 'bind', '/tmp/mock-selinux-plugin.im9esuxs', '/var/lib/mock/f41-build-49652926-5916286-bootstrap/root/proc/filesystems'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:610:  Child return code was: 0
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/sys/fs/selinux
DEBUG util.py:636:  child environment: None
DEBUG util.py:558:  Executing command: ['/bin/mount', '-n', '-t', 'tmpfs', 'tmpfs', '/var/lib/mock/f41-build-49652926-5916286-bootstrap/root/sys/fs/selinux'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:610:  Child return code was: 0
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/installation-homedir
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/installation-homedir
DEBUG package_manager.py:289:  ['/usr/bin/dnf5', '--installroot', '/var/lib/mock/f41-build-49652926-5916286-bootstrap/root/', 'install', 'dnf5', 'dnf5-plugins', '--setopt=deltarpm=False', '--setopt=allow_vendor_change=yes', '--allowerasing']
DEBUG util.py:636:  child environment: None
DEBUG util.py:558:  Executing command: ['/usr/bin/dnf5', '--installroot', '/var/lib/mock/f41-build-49652926-5916286-bootstrap/root/', 'install', 'dnf5', 'dnf5-plugins', '--setopt=deltarpm=False', '--setopt=allow_vendor_change=yes', '--allowerasing', '--setopt=tsflags=nocontexts'] with env {'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOME': '/var/lib/mock/f41-build-49652926-5916286-bootstrap/root/installation-homedir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'PS1': '<mock-chroot> \\s-\\v\\$ ', 'LANG': 'C.UTF-8', 'LC_MESSAGES': 'C.UTF-8'} and shell False
DEBUG util.py:463:  Updating and loading repositories:
DEBUG util.py:463:   build                                  100% |  74.0 MiB/s |  15.6 MiB |  00m00s
DEBUG util.py:463:  Repositories loaded.
DEBUG util.py:463:  Package                        Arch   Version                    Repository      Size
DEBUG util.py:463:  Installing:                                                                          
DEBUG util.py:463:   dnf5                          i686   5.1.14-1.fc41              build        1.5 MiB
DEBUG util.py:463:   dnf5-plugins                  i686   5.1.14-1.fc41              build        1.0 MiB
DEBUG util.py:463:  Installing dependencies:                                                             
DEBUG util.py:463:   alternatives                  i686   1.26-3.fc40                build       57.4 KiB
DEBUG util.py:463:   audit-libs                    i686   4.0.1-1.fc41               build      337.9 KiB
DEBUG util.py:463:   basesystem                    noarch 11-20.fc40                 build        0.0   B
DEBUG util.py:463:   bash                          i686   5.2.26-3.fc40              build        8.3 MiB
DEBUG util.py:463:   bzip2-libs                    i686   1.0.8-18.fc40              build       75.9 KiB
DEBUG util.py:463:   ca-certificates               noarch 2023.2.62_v7.0.401-6.fc40  build        2.3 MiB
DEBUG util.py:463:   coreutils                     i686   9.4-6.fc40                 build        5.6 MiB
DEBUG util.py:463:   coreutils-common              i686   9.4-6.fc40                 build       11.4 MiB
DEBUG util.py:463:   crypto-policies               noarch 20240304-1.git0375239.fc41 build      149.2 KiB
DEBUG util.py:463:   curl                          i686   8.6.0-7.fc41               build      733.8 KiB
DEBUG util.py:463:   cyrus-sasl-lib                i686   2.1.28-19.fc40             build        2.5 MiB
DEBUG util.py:463:   dnf-data                      noarch 4.19.0-1.fc40              build       38.8 KiB
DEBUG util.py:463:   elfutils-default-yama-scope   noarch 0.191-2.fc41               build        1.8 KiB
DEBUG util.py:463:   elfutils-libelf               i686   0.191-2.fc41               build        1.2 MiB
DEBUG util.py:463:   elfutils-libs                 i686   0.191-2.fc41               build      696.6 KiB
DEBUG util.py:463:   fedora-gpg-keys               noarch 41-0.1                     build      125.0 KiB
DEBUG util.py:463:   fedora-release                noarch 41-0.6                     build        0.0   B
DEBUG util.py:463:   fedora-release-common         noarch 41-0.6                     build       19.2 KiB
DEBUG util.py:463:   fedora-release-identity-basic noarch 41-0.6                     build      694.0   B
DEBUG util.py:463:   fedora-repos                  noarch 41-0.1                     build        4.9 KiB
DEBUG util.py:463:   fedora-repos-rawhide          noarch 41-0.1                     build        2.2 KiB
DEBUG util.py:463:   file-libs                     i686   5.45-5.fc41                build        9.9 MiB
DEBUG util.py:463:   filesystem                    i686   3.18-8.fc40                build       88.0   B
DEBUG util.py:463:   findutils                     i686   1:4.9.0-8.fc40             build        1.5 MiB
DEBUG util.py:463:   fmt                           i686   10.2.1-3.fc40              build      378.5 KiB
DEBUG util.py:463:   gawk                          i686   5.3.0-3.fc40               build        1.7 MiB
DEBUG util.py:463:   gdbm-libs                     i686   1:1.23-6.fc40              build      124.4 KiB
DEBUG util.py:463:   glib2                         i686   2.79.1-1.fc40              build       14.8 MiB
DEBUG util.py:463:   glibc                         i686   2.39.9000-5.fc41           build        5.5 MiB
DEBUG util.py:463:   glibc-common                  i686   2.39.9000-5.fc41           build        1.0 MiB
DEBUG util.py:463:   glibc-minimal-langpack        i686   2.39.9000-5.fc41           build        0.0   B
DEBUG util.py:463:   gmp                           i686   1:6.3.0-1.fc41             build      734.5 KiB
DEBUG util.py:463:   gnutls                        i686   3.8.3-2.fc40               build        3.3 MiB
DEBUG util.py:463:   grep                          i686   3.11-7.fc40                build        1.0 MiB
DEBUG util.py:463:   json-c                        i686   0.17-3.fc40                build       85.6 KiB
DEBUG util.py:463:   keyutils-libs                 i686   1.6.3-3.fc40               build       57.6 KiB
DEBUG util.py:463:   krb5-libs                     i686   1.21.2-5.fc40              build        2.3 MiB
DEBUG util.py:463:   libacl                        i686   2.3.2-1.fc40               build       39.3 KiB
DEBUG util.py:463:   libarchive                    i686   3.7.2-3.fc40               build      982.4 KiB
DEBUG util.py:463:   libattr                       i686   2.5.2-3.fc40               build       23.7 KiB
DEBUG util.py:463:   libblkid                      i686   2.40-0.11.rc1.fc41         build      285.5 KiB
DEBUG util.py:463:   libbrotli                     i686   1.1.0-3.fc40               build      855.4 KiB
DEBUG util.py:463:   libcap                        i686   2.69-3.fc40                build      201.9 KiB
DEBUG util.py:463:   libcap-ng                     i686   0.8.4-4.fc40               build       67.6 KiB
DEBUG util.py:463:   libcom_err                    i686   1.47.0-5.fc40              build       58.4 KiB
DEBUG util.py:463:   libcurl                       i686   8.6.0-7.fc41               build      800.9 KiB
DEBUG util.py:463:   libdnf5                       i686   5.1.14-1.fc41              build        2.8 MiB
DEBUG util.py:463:   libdnf5-cli                   i686   5.1.14-1.fc41              build      549.4 KiB
DEBUG util.py:463:   libeconf                      i686   0.6.2-1.fc41               build       57.2 KiB
DEBUG util.py:463:   libevent                      i686   2.1.12-12.fc40             build      948.1 KiB
DEBUG util.py:463:   libffi                        i686   3.4.4-8.fc41               build       76.8 KiB
DEBUG util.py:463:   libgcc                        i686   14.0.1-0.8.fc41            build      301.7 KiB
DEBUG util.py:463:   libgomp                       i686   14.0.1-0.8.fc41            build      521.5 KiB
DEBUG util.py:463:   libidn2                       i686   2.3.7-1.fc40               build      324.3 KiB
DEBUG util.py:463:   libmodulemd                   i686   2.15.0-9.fc41              build      739.7 KiB
DEBUG util.py:463:   libmount                      i686   2.40-0.11.rc1.fc41         build      387.0 KiB
DEBUG util.py:463:   libnghttp2                    i686   1.60.0-2.fc41              build      173.5 KiB
DEBUG util.py:463:   libpsl                        i686   0.21.5-3.fc40              build       71.8 KiB
DEBUG util.py:463:   librepo                       i686   1.17.0-3.fc40              build      231.3 KiB
DEBUG util.py:463:   libreport-filesystem          noarch 2.17.15-1.fc41             build        0.0   B
DEBUG util.py:463:   libselinux                    i686   3.6-4.fc40                 build      192.3 KiB
DEBUG util.py:463:   libsepol                      i686   3.6-3.fc40                 build      865.5 KiB
DEBUG util.py:463:   libsmartcols                  i686   2.40-0.11.rc1.fc41         build      179.7 KiB
DEBUG util.py:463:   libsolv                       i686   0.7.28-1.fc40              build      968.2 KiB
DEBUG util.py:463:   libssh                        i686   0.10.6-6.fc41              build      547.3 KiB
DEBUG util.py:463:   libssh-config                 noarch 0.10.6-6.fc41              build      277.0   B
DEBUG util.py:463:   libstdc++                     i686   14.0.1-0.8.fc41            build        2.8 MiB
DEBUG util.py:463:   libtasn1                      i686   4.19.0-6.fc40              build      178.9 KiB
DEBUG util.py:463:   libtool-ltdl                  i686   2.4.7-10.fc40              build       69.4 KiB
DEBUG util.py:463:   libunistring                  i686   1.1-7.fc41                 build        1.7 MiB
DEBUG util.py:463:   libuuid                       i686   2.40-0.11.rc1.fc41         build       32.6 KiB
DEBUG util.py:463:   libverto                      i686   0.3.2-8.fc40               build       28.7 KiB
DEBUG util.py:463:   libxcrypt                     i686   4.4.36-5.fc40              build      274.2 KiB
DEBUG util.py:463:   libxml2                       i686   2.12.5-1.fc40              build        1.8 MiB
DEBUG util.py:463:   libyaml                       i686   0.2.5-14.fc40              build      129.7 KiB
DEBUG util.py:463:   libzstd                       i686   1.5.5-5.fc40               build      711.2 KiB
DEBUG util.py:463:   lua-libs                      i686   5.4.6-5.fc40               build      308.6 KiB
DEBUG util.py:463:   lz4-libs                      i686   1.9.4-6.fc40               build      132.7 KiB
DEBUG util.py:463:   mpfr                          i686   4.2.1-3.fc40               build      982.5 KiB
DEBUG util.py:463:   ncurses-base                  noarch 6.4-12.20240127.fc40       build      326.2 KiB
DEBUG util.py:463:   ncurses-libs                  i686   6.4-12.20240127.fc40       build      963.1 KiB
DEBUG util.py:463:   nettle                        i686   3.9.1-6.fc40               build      780.2 KiB
DEBUG util.py:463:   openldap                      i686   2.6.7-1.fc40               build      660.5 KiB
DEBUG util.py:463:   openssl-libs                  i686   1:3.2.1-3.fc41             build        6.2 MiB
DEBUG util.py:463:   p11-kit                       i686   0.25.3-4.fc40              build        2.3 MiB
DEBUG util.py:463:   p11-kit-trust                 i686   0.25.3-4.fc40              build      357.7 KiB
DEBUG util.py:463:   pam-libs                      i686   1.6.0-2.fc41               build      120.8 KiB
DEBUG util.py:463:   pcre2                         i686   10.42-2.fc40.2             build      648.1 KiB
DEBUG util.py:463:   pcre2-syntax                  noarch 10.42-2.fc40.2             build      235.1 KiB
DEBUG util.py:463:   popt                          i686   1.19-6.fc40                build      135.9 KiB
DEBUG util.py:463:   publicsuffix-list-dafsa       noarch 20240107-3.fc40            build       67.5 KiB
DEBUG util.py:463:   readline                      i686   8.2-8.fc40                 build      457.5 KiB
DEBUG util.py:463:   rpm                           i686   4.19.1.1-1.fc40            build        2.9 MiB
DEBUG util.py:463:   rpm-build-libs                i686   4.19.1.1-1.fc40            build      201.2 KiB
